Carrier Group,Call Sign,Registration,Model,Operation,Origination Airport,Destination Airport,Gate Assigned (Aerobahn),Gate,Runway Assigned (Aerobahn),Runway,First Fix,International or Domestic Indicator,Event Time,Flight Origination Date,Scheduled Off Block Time (Aerobahn),Actual Off Block Time (Aerobahn),Movement Area Entrance Time,Actual Take Off Time (Aerobahn),Actual Landing Time (Aerobahn),Movement Area Exit Time,Scheduled In Block Time (Aerobahn),Actual In Block Time (Aerobahn),Total Taxi Time
United Airlines,UAL1278,N24211,B738,Arrival,ORD,EWR,Gate_131,Gate_131,22L,22L,DUFEE,,9/19/15 0:05,,9/18/15 20:48,9/18/15 21:30,,9/18/15 22:32,9/19/15 0:05,9/19/15 0:11,9/18/15 22:59,9/19/15 0:19,0:14:43
United Airlines,UAL456,N847UA,A319,Arrival,IAH,EWR,Gate_105,Gate_105,22L,22L,ORRTH,,9/19/15 0:17,,9/18/15 19:03,9/18/15 21:06,,9/18/15 21:19,9/19/15 0:17,,9/18/15 22:30,9/19/15 0:29,0:12:30
United Airlines,UAL1618,N76517,B738,Arrival,LAS,EWR,Gate_107,Gate_107,22L,22L,COWBY,,9/19/15 0:25,,9/18/15 20:00,9/18/15 19:59,,9/18/15 20:14,9/19/15 0:25,9/19/15 0:30,9/19/15 1:07,9/19/15 0:31,0:06:06
General Aviation,AAL1782,N125UW,A320,Arrival,CLT,EWR,,Gate_37,22L,22L,MERIL,,9/19/15 0:27,,9/18/15 22:15,,,9/18/15 23:10,9/19/15 0:27,9/19/15 0:31,,9/19/15 0:32,0:04:32
General Aviation,AAL1451,N852NN,B738,Arrival,DFW,EWR,,Gate_33,22L,22L,BSKAT,,9/19/15 0:29,,9/18/15 21:20,9/18/15 21:18,,9/18/15 21:39,9/19/15 0:29,9/19/15 0:32,9/19/15 0:51,9/19/15 0:33,0:03:49
General Aviation,RPA4312,N409YX,E170,Arrival,ORD,EWR,,Gate_35,22L,22L,DUFEE,,9/19/15 0:40,,9/18/15 22:45,,,9/18/15 23:06,9/19/15 0:40,9/19/15 0:42,,9/19/15 0:43,0:03:03
United Airlines,UAL1674,N14107,B752,Arrival,SFO,EWR,Gate_123,Gate_123,22L,22L,TIPRE,,9/19/15 1:10,,9/18/15 19:30,9/18/15 20:10,,9/18/15 20:31,9/19/15 1:10,9/19/15 1:16,9/19/15 1:00,9/19/15 1:18,0:07:56
United Airlines,UAL1943,N23721,B737,Arrival,SNA,EWR,Gate_132,Gate_132,22L,22L,TRM,,9/19/15 1:12,,9/18/15 19:51,9/18/15 19:53,,9/18/15 19:59,9/19/15 1:12,9/19/15 1:17,9/19/15 1:05,9/19/15 1:24,0:11:42
General Aviation,,N734TJ,G-1159A,Arrival,,,,,22L,22L,,,9/19/15 1:15,,,,,,9/19/15 1:15,9/19/15 1:24,,,
United Airlines,UAL746,N493UA,A320,Arrival,LAX,EWR,Gate_105,Gate_105,22L,22L,TRM,,9/19/15 1:45,,9/18/15 20:57,9/18/15 20:55,,9/18/15 21:08,9/19/15 1:45,9/19/15 1:50,9/19/15 2:14,9/19/15 1:54,0:09:15
United Airlines,UAL1476,N54711,B737,Arrival,ORD,EWR,Gate_134,Gate_134,22L,22L,DUFEE,,9/19/15 1:52,,9/18/15 21:55,9/18/15 23:56,,9/19/15 0:21,9/19/15 1:52,9/19/15 1:59,9/19/15 0:08,9/19/15 2:00,0:07:39
United Airlines,UAL353,N431UA,A320,Arrival,SFO,EWR,Gate_113,Gate_113,22L,22L,ORRCA,,9/19/15 2:15,,9/18/15 20:39,9/18/15 21:02,,9/18/15 21:20,9/19/15 2:15,9/19/15 2:20,9/19/15 2:03,9/19/15 2:21,0:05:36
General Aviation,SWA16,N730SW,B737,Arrival,BNA,EWR,Gate_10,,22L,22L,SWAPP,,9/19/15 2:17,,9/18/15 21:50,9/19/15 0:26,,9/19/15 0:34,9/19/15 2:17,9/19/15 2:21,9/18/15 23:55,,
United Airlines,UAL2122,N21108,B752,Arrival,MIA,EWR,Gate_128,Gate_128,22L,22L,HEDLY,,9/19/15 3:50,,9/18/15 23:54,9/19/15 1:12,,9/19/15 1:29,9/19/15 3:50,9/19/15 3:55,9/19/15 2:46,9/19/15 4:04,0:14:10
United Airlines,UAL91,N78008,B772,Arrival,TLV,EWR,Gate_121,Gate_121,22L,22L,YUL,,9/19/15 3:56,,9/18/15 16:10,9/18/15 16:12,,9/18/15 16:31,9/19/15 3:56,,9/19/15 4:20,9/19/15 4:09,0:12:36
United Airlines,UAL1434,N29717,B737,Arrival,SNA,EWR,Gate_98,Gate_98,22L,22L,TRM,,9/19/15 4:13,,9/18/15 23:46,9/18/15 23:38,,9/18/15 23:45,9/19/15 4:13,9/19/15 4:18,9/19/15 5:00,9/19/15 4:19,0:06:15
General Aviation,UPS208,N343UP,767-34AF,Arrival,CGN,EWR,,,22L,22L,,,9/19/15 4:51,,,,,,9/19/15 4:51,,,,
United Airlines,UAL341,N495UA,A320,Arrival,SFO,EWR,Gate_85,Gate_85,22L,22L,SYRAH,,9/19/15 5:00,,9/18/15 23:48,9/18/15 23:46,,9/19/15 0:08,9/19/15 5:00,9/19/15 5:04,9/19/15 5:14,9/19/15 5:05,0:05:10
United Airlines,UAL1695,N37298,B738,Arrival,SEA,EWR,Gate_70,Gate_70,22L,22L,SEA,,9/19/15 5:04,,9/19/15 0:21,9/19/15 0:17,,9/19/15 0:34,9/19/15 5:04,9/19/15 5:10,9/19/15 5:27,9/19/15 5:11,0:06:23
United Airlines,UAL1183,N69847,B739,Arrival,LAS,EWR,Gate_126,Gate_126,22L,22L,DVC,,9/19/15 5:16,,9/19/15 1:06,9/19/15 1:01,,9/19/15 1:12,9/19/15 5:16,9/19/15 5:21,9/19/15 5:54,9/19/15 5:22,0:05:53
United Airlines,UAL1976,N66803,B739,Arrival,PHX,EWR,Gate_94,,22L,22L,MAXXO,,9/19/15 5:20,,9/19/15 1:21,9/19/15 1:16,,9/19/15 1:25,9/19/15 5:20,,9/19/15 5:59,9/19/15 5:27,
General Aviation,VRD182,N845VA,A320,Arrival,SFO,EWR,,Gate_32,22L,22L,TIPRE,,9/19/15 5:26,,9/19/15 0:45,9/19/15 0:43,,9/19/15 0:51,9/19/15 5:26,9/19/15 5:28,9/19/15 5:59,9/19/15 5:29,0:03:13
